user_id,item_id,rating
1, 101001, 5
1, 101001, 5
1, 101001, 5
1, 101001, 5
1, 101001, 5
1, 101002, 2
1, 101002, 2
1, 101002, 2
1, 101002, 2
1, 101002, 2
1, 101003, 1
1, 101003, 1
1, 101003, 1
1, 101003, 1
1, 101003, 1
1, 101004, 2
1, 101004, 2
1, 101004, 2
1, 101004, 2
1, 101004, 2
1, 101005, 5
1, 101005, 5
1, 101005, 5
1, 101005, 5
1, 101005, 5
1, 101006, 2
1, 101006, 2
1, 101006, 2
1, 101006, 2
1, 101006, 2
1, 101007, 1
1, 101007, 1
1, 101007, 1
1, 101007, 1
1, 101007, 1
1, 101008, 2
1, 101008, 2
1, 101008, 2
1, 101008, 2
1, 101008, 2
2, 101009, 5
2, 101010, 5
2, 101011, 5
2, 101013, 5
2, 101014, 5
2, 101015, 2
2, 101016, 2
2, 101017, 2
2, 101018, 2
2, 101019, 2
3, 101009, 5
3, 101010, 5
3, 101011, 5
3, 101013, 5
3, 101014, 5
3, 101015, 2
3, 101016, 2
3, 101017, 2
3, 101018, 2
3, 101019, 2
4, 101009, 5
4, 101010, 5
4, 101011, 5
4, 101013, 5
4, 101014, 5
4, 101015, 2
4, 101016, 2
4, 101017, 2
4, 101018, 2
4, 101019, 2
5, 101009, 5
5, 101010, 5
5, 101011, 5
5, 101013, 5
5, 101014, 5
5, 101015, 2
5, 101016, 2
5, 101017, 2
5, 101018, 2
5, 101019, 2
